Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,16.719999,16.719999,16.719999,16.719999,14.943789,0
2021-01-11,16.690001,16.690001,16.690001,16.690001,14.916977,0
2021-01-12,16.790001,16.790001,16.790001,16.790001,15.006354,0
2021-01-13,16.740000,16.740000,16.740000,16.740000,14.961665,0
2021-01-14,16.840000,16.840000,16.840000,16.840000,15.051040,0
2021-01-15,16.520000,16.520000,16.520000,16.520000,14.765037,0
2021-01-19,16.709999,16.709999,16.709999,16.709999,14.934850,0
2021-01-20,16.840000,16.840000,16.840000,16.840000,15.051040,0
2021-01-21,16.740000,16.740000,16.740000,16.740000,14.961665,0
2021-01-22,16.700001,16.700001,16.700001,16.700001,14.925915,0
2021-01-25,16.639999,16.639999,16.639999,16.639999,14.872287,0
2021-01-26,16.600000,16.600000,16.600000,16.600000,14.836536,0
2021-01-27,16.170000,16.170000,16.170000,16.170000,14.452218,0
2021-01-28,16.389999,16.389999,16.389999,16.389999,14.648845,0
2021-01-29,15.990000,15.990000,15.990000,15.990000,14.291339,0
2021-02-01,16.200001,16.200001,16.200001,16.200001,14.479033,0
2021-02-02,16.480000,16.480000,16.480000,16.480000,14.729285,0
2021-02-03,16.629999,16.629999,16.629999,16.629999,14.863348,0
2021-02-04,16.809999,16.809999,16.809999,16.809999,15.024227,0
2021-02-05,16.900000,16.900000,16.900000,16.900000,15.104668,0
2021-02-08,17.110001,17.110001,17.110001,17.110001,15.292359,0
2021-02-09,17.070000,17.070000,17.070000,17.070000,15.256607,0
2021-02-10,17.070000,17.070000,17.070000,17.070000,15.256607,0
2021-02-11,17.080000,17.080000,17.080000,17.080000,15.265546,0
2021-02-12,17.209999,17.209999,17.209999,17.209999,15.381736,0
2021-02-16,17.430000,17.430000,17.430000,17.430000,15.578363,0
2021-02-17,17.459999,17.459999,17.459999,17.459999,15.605174,0
2021-02-18,17.360001,17.360001,17.360001,17.360001,15.515800,0
2021-02-19,17.520000,17.520000,17.520000,17.520000,15.658802,0
2021-02-22,17.600000,17.600000,17.600000,17.600000,15.730304,0
2021-02-23,17.690001,17.690001,17.690001,17.690001,15.810741,0
2021-02-24,17.990000,17.990000,17.990000,17.990000,16.078873,0
2021-02-25,17.559999,17.559999,17.559999,17.559999,15.694551,0
2021-02-26,17.350000,17.350000,17.350000,17.350000,15.506862,0
2021-03-01,17.780001,17.780001,17.780001,17.780001,15.891183,0
2021-03-02,17.680000,17.680000,17.680000,17.680000,15.801805,0
2021-03-03,17.670000,17.670000,17.670000,17.670000,15.792869,0
2021-03-04,17.520000,17.520000,17.520000,17.520000,15.658802,0
2021-03-05,17.870001,17.870001,17.870001,17.870001,15.971620,0
2021-03-08,17.879999,17.879999,17.879999,17.879999,15.980558,0
2021-03-09,17.910000,17.910000,17.910000,17.910000,16.007372,0
2021-03-10,18.020000,18.020000,18.020000,18.020000,16.105688,0
2021-03-11,18.049999,18.049999,18.049999,18.049999,16.132498,0
2021-03-12,18.160000,18.160000,18.160000,18.160000,16.230816,0
2021-03-15,18.200001,18.200001,18.200001,18.200001,16.266565,0
2021-03-16,18.129999,18.129999,18.129999,18.129999,16.203997,0
2021-03-17,18.250000,18.250000,18.250000,18.250000,16.311255,0
2021-03-18,18.010000,18.010000,18.010000,18.010000,16.096748,0
2021-03-19,17.920000,17.920000,17.920000,17.920000,16.016310,0
2021-03-22,17.920000,17.920000,17.920000,17.920000,16.016310,0
2021-03-23,17.670000,17.670000,17.670000,17.670000,15.792869,0
2021-03-24,17.660000,17.660000,17.660000,17.660000,15.783931,0
2021-03-25,17.790001,17.790001,17.790001,17.790001,15.900119,0
2021-03-26,18.100000,18.100000,18.100000,18.100000,16.177189,0
2021-03-29,18.030001,18.030001,18.030001,18.030001,16.114624,0
2021-03-30,18.059999,18.059999,18.059999,18.059999,16.141438,0
2021-03-31,18.030001,18.030001,18.030001,18.030001,16.114624,0
2021-04-01,18.290001,18.290001,18.290001,18.290001,16.347004,0
2021-04-05,18.490000,18.490000,18.490000,18.490000,16.525755,0
2021-04-06,18.440001,18.440001,18.440001,18.440001,16.481068,0
2021-04-07,18.490000,18.490000,18.490000,18.490000,16.525755,0
2021-04-08,18.549999,18.549999,18.549999,18.549999,16.579382,0
2021-04-09,18.660000,18.660000,18.660000,18.660000,16.677696,0
2021-04-12,18.590000,18.590000,18.590000,18.590000,16.615135,0
2021-04-13,18.559999,18.559999,18.559999,18.559999,16.588320,0
2021-04-14,18.680000,18.680000,18.680000,18.680000,16.695572,0
2021-04-15,18.799999,18.799999,18.799999,18.799999,16.802822,0
2021-04-16,18.870001,18.870001,18.870001,18.870001,16.865391,0
2021-04-19,18.809999,18.809999,18.809999,18.809999,16.811762,0
2021-04-20,18.549999,18.549999,18.549999,18.549999,16.579382,0
2021-04-21,18.760000,18.760000,18.760000,18.760000,16.767075,0
2021-04-22,18.600000,18.600000,18.600000,18.600000,16.624071,0
2021-04-23,18.820000,18.820000,18.820000,18.820000,16.820700,0
2021-04-26,18.879999,18.879999,18.879999,18.879999,16.874325,0
2021-04-27,18.930000,18.930000,18.930000,18.930000,16.919014,0
2021-04-28,18.990000,18.990000,18.990000,18.990000,16.972641,0
2021-04-29,19.129999,19.129999,19.129999,19.129999,17.097767,0
2021-04-30,18.920000,18.920000,18.920000,18.920000,16.910078,0
2021-05-03,19.070000,19.070000,19.070000,19.070000,17.044142,0
2021-05-04,18.969999,18.969999,18.969999,18.969999,16.954763,0
2021-05-05,19.100000,19.100000,19.100000,19.100000,17.070955,0
2021-05-06,19.270000,19.270000,19.270000,19.270000,17.222898,0
2021-05-07,19.440001,19.440001,19.440001,19.440001,17.374838,0
2021-05-10,19.309999,19.309999,19.309999,19.309999,17.258646,0
2021-05-11,19.100000,19.100000,19.100000,19.100000,17.070955,0
2021-05-12,18.790001,18.790001,18.790001,18.790001,16.793888,0
2021-05-13,18.969999,18.969999,18.969999,18.969999,16.954763,0
2021-05-14,19.250000,19.250000,19.250000,19.250000,17.205017,0
2021-05-17,19.270000,19.270000,19.270000,19.270000,17.222898,0
2021-05-18,19.090000,19.090000,19.090000,19.090000,17.062016,0
2021-05-19,18.969999,18.969999,18.969999,18.969999,16.954763,0
2021-05-20,19.090000,19.090000,19.090000,19.090000,17.062016,0
2021-05-21,19.120001,19.120001,19.120001,19.120001,17.088833,0
2021-05-24,19.290001,19.290001,19.290001,19.290001,17.240770,0
2021-05-25,19.219999,19.219999,19.219999,19.219999,17.178207,0
2021-05-26,19.280001,19.280001,19.280001,19.280001,17.231836,0
2021-05-27,19.450001,19.450001,19.450001,19.450001,17.383774,0
2021-05-28,19.420000,19.420000,19.420000,19.420000,17.356960,0
2021-06-01,19.520000,19.520000,19.520000,19.520000,17.446337,0
2021-06-02,19.510000,19.510000,19.510000,19.510000,17.437401,0
2021-06-03,19.440001,19.440001,19.440001,19.440001,17.374838,0
2021-06-04,19.559999,19.559999,19.559999,19.559999,17.482088,0
2021-06-07,19.549999,19.549999,19.549999,19.549999,17.473150,0
2021-06-08,19.530001,19.530001,19.530001,19.530001,17.455276,0
2021-06-09,19.440001,19.440001,19.440001,19.440001,17.374838,0
2021-06-10,19.440001,19.440001,19.440001,19.440001,17.374838,0
2021-06-11,19.469999,19.469999,19.469999,19.469999,17.401649,0
2021-06-14,19.420000,19.420000,19.420000,19.420000,17.356960,0
2021-06-15,19.420000,19.420000,19.420000,19.420000,17.356960,0
2021-06-16,19.309999,19.309999,19.309999,19.309999,17.258646,0
2021-06-17,19.059999,19.059999,19.059999,19.059999,17.035204,0
2021-06-18,18.770000,18.770000,18.770000,18.770000,16.776012,0
2021-06-21,19.129999,19.129999,19.129999,19.129999,17.097767,0
2021-06-22,19.180000,19.180000,19.180000,19.180000,17.142458,0
2021-06-23,19.150000,19.150000,19.150000,19.150000,17.115643,0
2021-06-24,19.320000,19.320000,19.320000,19.320000,17.267584,0
2021-06-25,19.400000,19.400000,19.400000,19.400000,17.339087,0
2021-06-28,19.290001,19.290001,19.290001,19.290001,17.240770,0
2021-06-29,19.280001,19.280001,19.280001,19.280001,17.231836,0
2021-06-30,19.360001,19.360001,19.360001,19.360001,17.303337,0
2021-07-01,19.440001,19.440001,19.440001,19.440001,17.374838,0
2021-07-02,19.530001,19.530001,19.530001,19.530001,17.455276,0
2021-07-06,19.309999,19.309999,19.309999,19.309999,17.258646,0
2021-07-07,19.320000,19.320000,19.320000,19.320000,17.267584,0
2021-07-08,19.110001,19.110001,19.110001,19.110001,17.079893,0
2021-07-09,19.420000,19.420000,19.420000,19.420000,17.356960,0
2021-07-12,19.490000,19.490000,19.490000,19.490000,17.419523,0
2021-07-13,19.389999,19.389999,19.389999,19.389999,17.330147,0
2021-07-14,19.379999,19.379999,19.379999,19.379999,17.321209,0
2021-07-15,19.320000,19.320000,19.320000,19.320000,17.267584,0
2021-07-16,19.090000,19.090000,19.090000,19.090000,17.062016,0
2021-07-19,18.639999,18.639999,18.639999,18.639999,16.659819,0
2021-07-20,18.980000,18.980000,18.980000,18.980000,16.963703,0
2021-07-21,19.270000,19.270000,19.270000,19.270000,17.222898,0
2021-07-22,19.190001,19.190001,19.190001,19.190001,17.151394,0
2021-07-23,19.309999,19.309999,19.309999,19.309999,17.258646,0
2021-07-26,19.420000,19.420000,19.420000,19.420000,17.356960,0
2021-07-27,19.340000,19.340000,19.340000,19.340000,17.285458,0
2021-07-28,19.410000,19.410000,19.410000,19.410000,17.348022,0
2021-07-29,19.549999,19.549999,19.549999,19.549999,17.473150,0
2021-07-30,19.400000,19.400000,19.400000,19.400000,17.339087,0
2021-08-02,19.299999,19.299999,19.299999,19.299999,17.249708,0
2021-08-03,19.459999,19.459999,19.459999,19.459999,17.392712,0
2021-08-04,19.290001,19.290001,19.290001,19.290001,17.240770,0
2021-08-05,19.400000,19.400000,19.400000,19.400000,17.339087,0
2021-08-06,18.850000,18.850000,18.850000,18.850000,17.464161,0
2021-08-09,18.799999,18.799999,18.799999,18.799999,17.417835,0
2021-08-10,18.910000,18.910000,18.910000,18.910000,17.519749,0
2021-08-11,19.010000,19.010000,19.010000,19.010000,17.612398,0
2021-08-12,19.040001,19.040001,19.040001,19.040001,17.640192,0
2021-08-13,19.010000,19.010000,19.010000,19.010000,17.612398,0
2021-08-16,18.950001,18.950001,18.950001,18.950001,17.556808,0
2021-08-17,18.770000,18.770000,18.770000,18.770000,17.390043,0
2021-08-18,18.580000,18.580000,18.580000,18.580000,17.214012,0
2021-08-19,18.459999,18.459999,18.459999,18.459999,17.102833,0
2021-08-20,18.559999,18.559999,18.559999,18.559999,17.195478,0
2021-08-23,18.760000,18.760000,18.760000,18.760000,17.380779,0
2021-08-24,18.889999,18.889999,18.889999,18.889999,17.501219,0
2021-08-25,18.980000,18.980000,18.980000,18.980000,17.584602,0
2021-08-26,18.840000,18.840000,18.840000,18.840000,17.454895,0
2021-08-27,19.080000,19.080000,19.080000,19.080000,17.677250,0
2021-08-30,19.040001,19.040001,19.040001,19.040001,17.640192,0
2021-08-31,18.959999,18.959999,18.959999,18.959999,17.566072,0
2021-09-01,18.889999,18.889999,18.889999,18.889999,17.501219,0
2021-09-02,19.010000,19.010000,19.010000,19.010000,17.612398,0
2021-09-03,18.959999,18.959999,18.959999,18.959999,17.566072,0
2021-09-07,18.900000,18.900000,18.900000,18.900000,17.510483,0
2021-09-08,18.780001,18.780001,18.780001,18.780001,17.399309,0
2021-09-09,18.740000,18.740000,18.740000,18.740000,17.362247,0
2021-09-10,18.610001,18.610001,18.610001,18.610001,17.241806,0
2021-09-13,18.799999,18.799999,18.799999,18.799999,17.417835,0
2021-09-14,18.590000,18.590000,18.590000,18.590000,17.223276,0
2021-09-15,18.799999,18.799999,18.799999,18.799999,17.417835,0
2021-09-16,18.730000,18.730000,18.730000,18.730000,17.352983,0
2021-09-17,18.540001,18.540001,18.540001,18.540001,17.176950,0
2021-09-20,18.209999,18.209999,18.209999,18.209999,16.871212,0
2021-09-21,18.190001,18.190001,18.190001,18.190001,16.852684,0
2021-09-22,18.440001,18.440001,18.440001,18.440001,17.084305,0
2021-09-23,18.760000,18.760000,18.760000,18.760000,17.380779,0
2021-09-24,18.799999,18.799999,18.799999,18.799999,17.417835,0
2021-09-27,18.879999,18.879999,18.879999,18.879999,17.491953,0
2021-09-28,18.570000,18.570000,18.570000,18.570000,17.204744,0
2021-09-29,18.600000,18.600000,18.600000,18.600000,17.232542,0
2021-09-30,18.379999,18.379999,18.379999,18.379999,17.028713,0
2021-10-01,18.680000,18.680000,18.680000,18.680000,17.306660,0
2021-10-04,18.540001,18.540001,18.540001,18.540001,17.176950,0
2021-10-05,18.690001,18.690001,18.690001,18.690001,17.315924,0
2021-10-06,18.700001,18.700001,18.700001,18.700001,17.325188,0
2021-10-07,18.879999,18.879999,18.879999,18.879999,17.491953,0
